level,experience,difference
1,0,0
2,83,83
3,174,91
4,275,101
5,387,112
6,511,124
7,648,137
8,799,151
9,966,167
10,1151,185
11,1355,204
12,1580,225
13,1829,249
14,2103,274
15,2406,303
16,2740,334
17,3109,369
18,3517,408
19,3967,450
20,4463,496
21,5011,548
22,5616,605
23,6283,667
24,7020,737
25,7833,813
26,8730,897
27,9720,990
28,10813,1093
29,12020,1207
30,13352,1332
31,14822,1470
32,16444,1622
33,18235,1791
34,20212,1977
35,22394,2182
36,24802,2408
37,27460,2658
38,30394,2934
39,33633,3239
40,37209,3576
41,41156,3947
42,45513,4357
43,50323,4810
44,55633,5310
45,61495,5862
46,67966,6471
47,75110,7144
48,82996,7886
49,91702,8706
50,101314,9612
51,111925,10611
52,123640,11715
53,136573,12933
54,150851,14278
55,166614,15763
56,184017,17403
57,203231,19214
58,224443,21212
59,247862,23419
60,273718,25856
61,302264,28546
62,333780,31516
63,368575,34795
64,406990,38415
65,449403,42413
66,496229,46826
67,547928,51699
68,605006,57078
69,668024,63018
70,737600,69576
71,814417,76817
72,899228,84811
73,992866,93638
74,1096249,103383
75,1210391,114142
76,1336413,126022
77,1475551,139138
78,1629170,153619
79,1798777,169607
80,1986037,187260
81,2192787,206750
82,2421055,228268
83,2673082,252027
84,2951341,278259
85,3258562,307221
86,3597759,339197
87,3972261,374502
88,4385743,413482
89,4842262,456519
90,5346298,504036
91,5902797,556499
92,6517219,614422
93,7195594,678375
94,7944579,748985
95,8771523,826944
96,9684541,913018
97,10692593,1008052
98,11805570,1112977
99,13034394,1228824
